,,patrick,,,,,,,,,,,,
,,,,,,,,,,,,,,
Records: 1 - 480,Total: 480    ,,,,,,,,,,,,,
 Paintball - Bug Tracking, Subtotal:  480  ,,,,,,,,,,,,,
Issue ID,Class,Frequency,Build Version,Location,Type,Title,Description,Notes,Date Submitted,Date Assigned,Date Closed,Sub-Project,Close Status,Current Status
,,,,,,,,,,,,,,
 vDev13 Fun Labs (AMP Dev), Subtotal:  480  ,,,,,,,,,,,,,
6479,A,Always (100%),10/29/08 PS3,Gameplay,Gameplay,Gameplay - User's character is able to break collistion if the user presses the PS button right as the user's character jumps.,"Summary:
During gameplay, any level, if the user's character goes up to a snake bunker, jumps, immediately user presses the PS button, lets the game sit idle momentarily, notice that the user's character is not at his location from when he jumped. 

Steps to Reproduce:
1)Start any match
2)Move to a snake bunker so that the user's character is prompted to jump
3)Press the X button to jump
4)User's character moves towards the bunker and right as he jumps press the PS button to bring up the XMB 
6)Let the game sit idle at the XMB for at least 1 min.
7)Press the PS button to resume into gameplay
8)Notice that the user's character is outside the level and the user's character no longer has collision detection 

Expected Results:
There must be collision detection at all times.

NOTE: This bug is similar to 6477. If the user does not get this bug to occur, bug 6477 occurs.
NOTE: This occurs on the following maps; 
San Diego, CA
Jacksonville, FL
Huntington Beach, CA
Charlotte, NC
Malaga, Spain
London, England
Paris, France
Nurburgring, Germany
Bakersfield, CA
Miami, FL

NOTE: Video Capture available.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6477,B,Always (100%),10/29/08 PS3,Gameplay,Gameplay,Gameplay - User's character is not in his current location if the user presses the PS button right as the user's character jumps.,"Summary:
During gameplay, any level, if the user's character goes up to a snake bunker, jumps, immediately user presses the PS button, lets the game sit idle momentarily, notice that the user's character is not at his location from when he jumped. 

Steps to Reproduce:
1)Start any match
2)Move to a snake bunker so that the user's character is prompted to jump
3)Jump and immediately press the PS button
4)Let the game sit idle momentarily
5)Press the PS button to resume into gameplay
6)Notice that the user's character is not at his location from when he jumped 

Expected Results:
The user's character must be in his current location when pressing the PS button.

NOTE: It appears as though the user's character continues to float from where he had jumped. If the user sits idle in the XMB screen long enough, resumes gameplay, the user's character will be hundreds of feet in the air.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6474,B,Always (100%),10/29/08 PS3,Tournament Selection Screen,Video/Graphic,Video/Graphic - Tournament Selection Screen: In a save with the Career Mode completed Tournaments with Two selections have the wrong corresponding graphic and tournament name,"Summary:
Tournament Selection Screen: In a save with the Career Mode completed Tournaments with Two selections have the wrong corresponding graphic and tournament name.

Steps to Reproduce:
1) With a Completion save from the Main Menu select Career Mode.
2) Select Play Tournament.
3) Proceed to any tournament that has 2 choices.
4) Notice that the Text lists the second tournament while the title card is for the first tournament.

Expected Results:
Title cards must appear with the appropriate Title.

Note: This happens on the following tournaments: 
12 Malaga, Spain Shows Florida Invitational
16 London, England Shows SoCal Invitational
19Toulouse, France Shows Texas Invitational
22 Nurburging, Germany Shows Tempe Invitational

Note: Pressing the Down Button will change the Title Text, while Pressing the Up Button will change the Title Card.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6467,A,Always (100%),10/29/08 PS3,Multiplayer,Crash,"Crash - Multiplayer: If the user disconnects the network cable from the PS3 just after the Create Room ""Please Wait"" screen, the user crashes on the Create Game screen.","Summary:
In Multiplayer, if the user disconnects the network cable from the PS3 just after the Create Room ""Please Wait"" screen, the user crashes on the Create Game screen.

Steps to Reproduce:
1) User selects Multiplayer
2) Selects Selects Playstation Network
3) Selects Player Match
4) Selects create game
5) Selects any map
6) Selects continue
7) User observes the Create Room ""Please Wait"" screen
8) (Very timing specific) As soon as the Create Room ""Please Wait"" screen disappears, the user disconnects the network cable from the PS3
9) The user observes a crash on the Create Game screen

Expected Results:
Users must not crash.

NOTE: Crash dump is on the FTP.
NOTE: This bug is VERY timing specific, the user must disconnect the network cable as the Create Game screen flashes after the ""Please Wait"" screen disappears.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6464,B,Once,10/29/08 PS3,Leaderboards,Technical Check,Once - Technical Check - Leaderboards: The Scoreboards did not update after the user completed Career Mode while signed out of the Playstation Network and then signed in after Career was completed,"Summary:
Once, in the Scoreboard, if the user completed completed Career Mode while signed off of the Playstation Network, signed in after completing Career, the Scoreboards did not update to show the user's progress

Steps to Reproduce:
1) User booted the game while signed out of the Playstation Network
2) Selected Career Mode on the Main Menu
3) Completed Career Mode
4) Pushed the Playstation button to open the Playstation XMB
5) Signed into the Playstation Network
6) Returned to the Main Menu
7) Selected Multiplayer
8) Selected PlayStationNetwork
9) Selected Scoreboard
10) Selected the Career scoreboards
11) Once, the Scoreboards were not updated to reflect the user's progress while not signed into the Playstation Network

Expected Results:
The Scoreboards must update properly when the user signs into the Playstation Network",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6462,A,Occasionally (1%-9%),10/29/08 PS3,Exhibition,Gameplay,"Occasionally - Gameplay - Exhibition (Custom Field): If bunkers are arranged with a small gap between bunkers, occasionally AI will pick a path to run that the NPC is unable to fit though.","Summary:
Occasionally, during gameplay in a an Exhibition Match on a Custom Field, if bunkers are arranged with gaps between them the Enemy NPCs will continue to run at the gap that is too small, and become stuck and unable to retrieve the flag.

Steps to Reproduce:
1) From the Main menu enter the filed creator,
2) Create a field with many bunkers place just close enough so that the NPCs can not pass though the gap,
3) Save the field,
4) Enter the newly created filed in Exhibition Mode,
5) Occasionally during gameplay the user observed that NPCs became stuck in the gaps because they the AI had picked a path that was to narrow for the NPC to pass through.

Expected Results:
NPCs must always be able to retrieve the flag.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6460,B,Always (100%),10/29/08 PS3,Gameplay,Video/Graphic,Video/Graphic - Gameplay: Hand appears floating when reloading while wearing both smart parts defender & Quick Grip Glove.,"Summary:
In game-play, with both the Smart Parts Defender jersey and the Quick Grip Gloves equipped, the user's character's hand appears floating when reloading hopper.

Steps to Reproduce:
1) From Main Menu user selects Career Mode.
2) Selects Gear Store.
3) Purchases the Smart Parts Defender jersey and the Quick Grip Gloves.
4) Exits Gears store and selects Team Outfit.
5) Equips the Smart Parts Defender jersey and the Quick Grip Gloves.
6) Enters any mode of game-play.
7) Reloads hopper.
8) Observe that the user's character's hand appears floating.

Expected Results:
User's character's hand must not appear floating.

Note():
Image attached.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
6459,B,Always (100%),10/29/08 PS3,Career Mode,Gameplay,Gameplay - Career Mode: The Ramping during gameplay does not function properly,"Summary:
The user is not informed that Ramping is not allowed in Career Mode, and therefore does not function.

Steps to Reproduce:
1) User selects Career Mode on the Main Menu
2) Selects Team Manager
3) Upgrades the user's player's Marker Handling skill to level 3 or higher
4) Selects Play Tournament on the Career menu
5) Proceeds into gameplay on any level
6) Pushes the START button to enter the Pause Menu
7) Selects Options
8) Selects Gameplay
9) Sets the Ramping option to ON
10) Returns to gameplay
11) Pushes the R1 button or R2 button repeatedly at a fast pace
12) Notice that the user's character is not ramping

Expected Results:
The following text must be displayed when ""Ramping"" is highlighted in the Options -> Gameplay menu:

""Ramping is not available for use in NPPL, XPSL, and Millennium Series tournaments.""

Note: This change must be applied to the Options -> Gameplay menu on the Main Menu, as well as in Career Mode gameplay.",,39751,39751,,AMP QA (E)\PS3,,6. Dev - Open
